,Projekt ID,Projekttitel,url_new,Projektstatus,year_start,year_end,SAP Interne Organisationen,corpus_EN,Projektmitarbeit,Projektleitung
0,74473,Evaluation des Modellprojekts Graubünden «Gemeinsam mit und für Pflegefamilien» ,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=4380,Laufend (Aktiv),2019,2024,Institut für Sozialpädagogik und Bildung Forschung,"Evaluation of the Graubünden model project “Together with and for foster families” The Graubünden project ""Together with and for foster families"" of the Swiss Agency for Foster Families is a model for improved support and promotion of foster families. The Graubünden project ""Together with and for foster families"" of the Swiss Agency for Foster Families is a model for improved support and promotion of foster families. In January 2019, the Swiss Agency for Foster Families (SFP) launched a model project to support and promote foster families in the canton of Graubünden. The aim of the SFP model project is to provide foster children with the best possible conditions for growing up healthy in their respective foster families. The experiences from the project and the knowledge acquired should be made available to other cantons and regions. The Lucerne University of Applied Sciences and Arts is evaluating this project for the postulated effects.",, Metzger Marius
1,56296,Mobile Payment Studie 2018,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=4309,Abgeschlossen,2018,2019,CC Financial Services,"Mobile payment study 2018 The Institute for Financial Services Zug (IFZ) at the Lucerne University of Applied Sciences and Arts analyzed the use of mobile payment in Switzerland by means of a study. The Institute for Financial Services Zug (IFZ) at the Lucerne University of Applied Sciences and Arts analyzed the use of mobile payment in Switzerland by means of a study. In addition to various data from the Swiss National Bank and the Federal Statistical Office, anonymous data from TWINT was used to create a more detailed picture of the use of mobile payment in the various application areas and parts of the country. This study uses data from the Swiss payment app Twint to analyze the current distribution and usage trends over the past few months.", Rey Reto, Dietrich Andreas
2,54075,Digitalisierung und Effizienzverbesserung bei Hypothekarprozessen,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=4308,Abgeschlossen,2018,2018,CC Financial Services,"Digitization and efficiency improvement in mortgage processes Banks feel compelled not only to make adjustments to the customer interface, but above all to make processes more efficient and digital. As part of this study, we analyzed how the traditional mortgage process looks today and where and to what extent there is potential for cost savings. The analysis of this study is limited to the mortgage process, since this takes a comparatively long time and is repeated frequently. In cooperation with the digitization and security product provider ti&m, the mortgage processes of five medium-sized Swiss retail banks were examined using detailed interviews. The analysis of the credit processes is limited to mortgages for private individuals and the standard case that the customer seeks personal contact for the new contract. The figures for both the time spent today and the savings potential are based on assessments by the respective interviewees. In the case of individual banks, this was based on random measurements, while others obtained assessments from the employees involved.", Grob Stefan, Dietrich Andreas
3,91373,GreenBrick,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=6187,Laufend (Aktiv),2022,2026,CC Products & Textiles,"GreenBrick The project investigates how sustainable and passive climate-regulating approaches can be transferred to extensive vertical greening in a future-oriented manner. Buildings made of brick survive for centuries, the decay products do not generate any pollutants and are partially populated with plants. The use of ceramic materials for plant containers is known. In the research project, new combinations of the two functionalities of building material and support for planting are being developed. In a basic research ""GreenBrick-Basic"", the basic combinations ""type of plant - type of carrier material"" were broadly explored and vegetation strategies were tested on different ceramic material properties and structures. Based on this, the geometry of the carrier module, construction variants and the regulated irrigation by storing and releasing rainwater are investigated in depth in the present project. Ultimately, a future-oriented product for a greenable wall and facade system is to be developed, which is being explored for different possible applications and architectural typologies. The climatic effectiveness inside and outside is evaluated and optimized. In the context of dense construction and climate change, this vertical greening increases the quality of life in the long term: it uses natural resources, cools the environment through evaporation and promotes biodiversity. Interdisciplinary project development is a basic prerequisite for successfully merging the complex relationships between the biosystem, climate regulation, material and architecture into a holistic system."," Gassler Cornelia,  Arnold Kilian,  Koschenz Markus,  Huwiler Martin,  Häusermann Martina,  King Marvin,  Hartmann Nicole,  Amstutz Sibylla,  Triller Susanne"," Müggler Zumstein Isabel Rosa,  Amstutz Sibylla"
4,47957,Mehrfachnutzen von Energieeffizienzmassnahmen: Identifikation und Quantifizierung,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=4152,Abgeschlossen,2017,2020,keine Angabe,Multiple benefits of energy efficiency measures: identification and quantification Characterization and categorization of multiple benefits in the implementation of energy efficiency measures EEM. Development of 'best practices'. The aim of the project is to increase industrial EEM and thus reduce energy requirements by 30-40. It answers the following questions: - How do energy efficiency measures influence corporate strategy and corporate goals in different industrial sectors? - What influence do EEM have on decisions in the investment process (especially EEM with the highest energy saving potential)? - How can the national energy policy take into account the influence of EEM to promote the implementation rate and thus reduce the energy demand of Swiss industry?," Schlegel Anna,  Wellig Beat,  Imboden Christoph,  Wagner Claas,  Olsen Donald,  Schneider Ingo,  Papaefthymiou Maria-Eleni,  Santoro Marina,  Obermeyer Melissa,  Liem Peter",
5,56558,Online-Experiment Wirkung von Nachhaltigkeits-Ratings bei Online-Hotelbuchungen,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=4144,Abgeschlossen,2018,2019,CC Tourismus,"Online experiment Impact of sustainability ratings on online hotel bookings The project examines whether sustainability ratings are an effective means of communication to promote sustainable guest behavior when booking hotels online Sustainable hotels are still testing how best to communicate their sustainability to potential guests. Sustainability is an abstract concept that is not easy to convey. However, it is essential that information is easy to understand so that it can have an effect on consumers. Cues and ratings represent information that is easy to understand. Potential guests are used to ratings from booking (e.g. booking.com) and rating platforms (e.g. TripAdvisor). Consumers are booking more and more via online platforms, today almost 30% of all hotel bookings in Switzerland are made via online booking platforms (Schegg, 2018). The existing ratings on the online platforms summarize the satisfaction of guests and make it visible at a glance - and consumers rely on the ratings when choosing a hotel. Sustainability ratings, which take into account the ecological and/or social sustainability dimension, could therefore inform consumers about the sustainability of a hotel in a simple manner."," Stämpfli Aline,  Handschuh Michael,  Ponnapureddy Sindhuri", Priskin Julianna
6,78839,Geschwister von Menschen mit einer Behinderung oder einer chronischen Erkrankung,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=5964,Abgeschlossen,2020,2022,Institut für Sozialpädagogik und Bildung Forschung,"Siblings of people with a disability or chronic illness The life situation of siblings of people with disabilities in Switzerland is examined with the aim of providing them with the necessary support. Based on evidence from research, it can be assumed that siblings of people with a disability or a chronic illness are in a life situation with a lower quality of life and an increased risk of developmental disabilities. The Lucerne University of Applied Sciences and Arts (HSLU) is investigating the life situation of siblings in Switzerland on behalf of the association Raum für Geschwister VRG and the Stiftung KiFa Schweiz. The aim is to make the social relevance visible. The results of the study are intended to help ensure that siblings of children and adults with disabilities can grow up and live in a development-promoting life situation and receive the necessary support. A so-called “mixed method design” was chosen for the planned study. This means that there is both a quantitative and a qualitative approach in order to be able to answer the question in a well-founded manner. A methodological approach is proposed that takes into account the active inclusion of the persons to be examined (participatory research approach). First, existing basics from research, statistical surveys and support models for siblings are systematically researched and summarized. An overview of the current state of research and an approximation of the number of siblings of children with disabilities in Switzerland will be prepared. Subsequently, the life situation of the siblings in childhood and adulthood of people with disabilities is examined with a quantitative survey using a short questionnaire. A more in-depth investigation of the situation then follows via a qualitative research approach. The aim of this part of the study is to describe the life situation of children, adolescents and adults who have a sibling with a disability. It is about development-promoting and development-impairing factors of life situations. A special focus is placed on identifying the support needs of siblings who are at particularly high risk of developing disabilities."," Schraner Marco,  Mikolasek Michael,  Zambrino Natalie", Adler Judith
7,79727,Smart Maintenance 4.0,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=5708,Abgeschlossen,2020,2022,iHomeLab,"Smart Maintenance 4.0 With ""Predictive Maintenance"" you can use sensor data to predict when a machine will need maintenance. In this project we are researching a manufacturer-independent solution for sewage pumps, which is based on inexpensive sensors. Based on sensor data and algorithms, machine malfunctions can be predicted and specific instructions for troubleshooting can be issued. Operating costs can be reduced by 25% annually, energy costs by 5% and downtime reduced. SwissFM AG specializes in facility and lifecycle management (FM). A promising technology in this area is predictive maintenance (PdM). In this project, the HSLU will develop new algorithms for PdM, which will bring the following advantages: It should be possible to use cheaper sensors and the system will function independently of the manufacturer. The focus is on wastewater pumps from wastewater treatment plants (WWTP). Four ARAs are participating in the research project to develop a needs-based product."," Paice Andrew,  Nieke Clemens,  von Arx Dieter,  Kniesel Guido,  Vogel Manuel,  Camenzind Martin,  Friedli Martin,  Huber Mittler Patrick,  Schranz Raphael,  Niederberger Stefan,  Winterberger Stefan", Rumsch Andreas
8,59167,Agency and Identity in Music,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=4181,Abgeschlossen,2019,2019,Music Performance Research Projekte,"Agency and Identity in Music The first international and interdisciplinary music symposium examining the Impact of agency and identity in music and their interrelationships. Collaborative Partnership between the School of Music, Lucerne University of Applied Sciences and Arts and the International Musicological Society (IMS). International Intercongressional Symposium of the International Musicological Society (IMS), entitled “Agency and Identity in Music” and taking place in Lucerne from 7-10 July 2019. The symposium focuses – as far as music scholarshop is concerned – for the first time ever interplay between agency and identity that plays roles in the creation, performance, communication, and reception of music. To articulate and operationalize the many ways in which agency and identity define themselves in and through music, the symposium invites proposals that explore the acting and identifying through music, the construction of identity in music, and the interconnectedness of these phenomena in the performance, perception and mediation of music of all cultures and periods."," Hoesl Florian,  Charisius Isabel,  Szamatulski Katrin,  Sandmeier Nicole", Baldassarre Antonio
9,91517,Onset-Detection von Schlagzeugklängen in komplexen Schallsignalen,https://www.hslu.ch/de-ch/hochschule-luzern/forschung/projekte/detail/?pid=6144,Laufend (Aktiv),2022,2022,Music Performance Research Projekte,"Onset detection of drum sounds in complex sound signals The determination of sound onsets is of central importance for performance research. If several sound sources are present at the same time, traditional measurement methods fail. In this project, an alternative approach from AI is to be tested. Capturing the onset of sound is one of the most elementary achievements of the human perceptual apparatus. When making music, this ability forms an indispensable basis: synchronization with a sequence of sound events would be unthinkable without precise perception of sound attacks. In the scientific study of music, too, the measurement of the times at which music is used plays a fundamental role in a wide variety of questions. As part of the digitization of music research, tools are increasingly being used for this purpose, which are summarized in computer science under the term “music information retrieval”. Experience with these tools has shown, however, that complex sound signals, such as those that arise when several instruments interact due to the superimposition of the sound events, quickly push the automated ""onset detection"" of existing software solutions to their limits. With this project, based on the latest developments in the field of artificial intelligence, a new approach is to be implemented and evaluated in comparison to existing tools. The successful implementation of a new approach opens up not only use for research purposes but also a promising perspective for further development projects in the field of music production.",," Kilchenmann Lorenz,  Pfäffli Daniel"
